trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
85,7339,-84,1,<DATE> @ 15:55:22.824,POWELL,FALSE,6398,3,,POINT (-122.562099 45.477841),46198,754,FALSE,1779,4,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:51:24.759,13895323,bus,4002
0,7337,-247,1,<DATE> @ 15:55:33.877,POWELL,FALSE,6670,33,0,POINT (-122.537557 45.53982),46046,754,FALSE,6620,34,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:51:36.028,13895321,bus,3903
359,7346,-97,1,<DATE> @ 15:55:37.881,POWELL,FALSE,6630,20,0,POINT (-122.537673 45.504833),46200,754,FALSE,6640,21,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:51:38.876,13895322,bus,3949
0,7346,11,1,<DATE> @ 15:56:20.145,POWELL,FALSE,6640,21,0,POINT (-122.537686 45.511151),46351,754,FALSE,6645,22,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:52:21.200,13895322,bus,3949
105,7339,-66,1,<DATE> @ 15:56:23.132,POWELL,FALSE,1779,4,,POINT (-122.55678 45.476667),46277,754,FALSE,1772,5,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:52:24.106,13895323,bus,4002
0,7337,-180,1,<DATE> @ 15:56:34.221,POWELL,FALSE,6673,35,0,POINT (-122.537302 45.54662),46174,754,FALSE,8907,36,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:52:36.086,13895321,bus,3903
359,7346,-15,1,<DATE> @ 15:57:27.548,POWELL,FALSE,6645,22,0,POINT (-122.5377 45.512799),46392,754,FALSE,6642,23,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:53:30.175,13895322,bus,3949
81,7339,9,1,<DATE> @ 15:57:23.477,POWELL,FALSE,1784,7,,POINT (-122.547426 45.476259),46412,754,FALSE,1773,8,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:53:30.274,13895323,bus,4002
1,7337,-153,1,<DATE> @ 15:57:33.552,POWELL,FALSE,8907,36,0,POINT (-122.53726 45.551168),46260,754,FALSE,6654,37,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:53:36.231,13895321,bus,3903
0,7346,5,1,<DATE> @ 15:58:26.881,POWELL,FALSE,6669,24,0,POINT (-122.537747 45.516162),46471,754,FALSE,8940,25,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:54:30.134,13895322,bus,3949
88,7339,72,1,<DATE> @ 15:58:23.865,POWELL,FALSE,1766,9,,POINT (-122.5387 45.476508),46535,754,FALSE,6626,10,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:54:30.239,13895323,bus,4002
1,7337,-213,1,<DATE> @ 15:58:33.940,POWELL,FALSE,8907,36,0,POINT (-122.53726 45.551168),46260,754,FALSE,6654,37,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:54:36.182,13895321,bus,3903
359,7339,46,1,<DATE> @ 15:59:23.181,POWELL,FALSE,1766,9,,POINT (-122.537125 45.477047),46569,754,FALSE,6626,10,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:55:24.730,13895323,bus,4002
1,7337,-237,1,<DATE> @ 15:59:28.215,POWELL,FALSE,6654,37,0,POINT (-122.537201 45.553434),46291,754,FALSE,6604,38,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:55:30.391,13895321,bus,3903
359,7346,6,1,<DATE> @ 15:59:27.213,POWELL,FALSE,8940,25,0,POINT (-122.537788 45.518716),46533,754,FALSE,6652,26,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:55:30.418,13895322,bus,3949
354,7339,50,1,<DATE> @ 16:00:14.424,POWELL,FALSE,6626,10,,POINT (-122.537183 45.47981),46624,754,FALSE,6657,11,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:56:15.609,13895323,bus,4002
0,7346,-5,1,<DATE> @ 16:00:16.409,POWELL,FALSE,6652,26,0,POINT (-122.537784 45.520231),46571,754,FALSE,6621,27,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:56:17.867,13895322,bus,3949
270,7337,-256,1,<DATE> @ 16:00:24.504,POWELL,FALSE,6604,38,0,POINT (-122.538384 45.55527),46328,754,FALSE,4740,39,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:56:27.135,13895321,bus,3903
1,7339,104,1,<DATE> @ 16:01:13.856,POWELL,FALSE,6633,12,,POINT (-122.537882 45.485339),46737,754,FALSE,6660,13,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:57:15.302,13895323,bus,4002
270,7337,-271,1,<DATE> @ 16:01:19.923,POWELL,FALSE,4740,39,0,POINT (-122.542451 45.555379),46368,754,FALSE,4738,40,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:57:21.289,13895321,bus,3903
0,7346,-26,1,<DATE> @ 16:01:26.943,POWELL,FALSE,6652,26,0,POINT (-122.537775 45.522269),46620,754,FALSE,6621,27,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:57:30.174,13895322,bus,3949
0,7339,97,1,<DATE> @ 16:02:13.213,POWELL,FALSE,9487,14,,POINT (-122.537782 45.487968),46790,754,FALSE,6635,15,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:58:15.413,13895323,bus,4002
270,7337,-235,1,<DATE> @ 16:02:23.311,POWELL,FALSE,4734,42,0,POINT (-122.552536 45.555386),46468,754,FALSE,4726,43,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:58:24.626,13895321,bus,3903
0,7346,-41,1,<DATE> @ 16:02:38.416,POWELL,FALSE,6621,27,0,POINT (-122.537762 45.525343),46677,754,FALSE,6611,28,FALSE,084C8D,73,Bus,<DATE> @ 03:00:00.000,73 To Parkrose TC,73  122nd Ave to Parkrose TC,vm,<DATE> @ 15:58:39.193,13895322,bus,3949
