trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
180,7435,0,1,<DATE> @ 15:55:37.881,POWELL,FALSE,13956,18,0,POINT (-122.496677 45.495567),46297,776,FALSE,13957,19,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 15:51:38.811,13895694,bus,3415
105,7435,-12,1,<DATE> @ 15:56:37.346,POWELL,FALSE,13957,19,0,POINT (-122.493244 45.494077),46345,776,FALSE,4610,20,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 15:52:38.841,13895694,bus,3415
106,7435,14,1,<DATE> @ 15:57:37.608,POWELL,FALSE,4534,22,0,POINT (-122.485167 45.492419),46431,776,FALSE,4615,23,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 15:53:39.027,13895694,bus,3415
106,7435,-35,1,<DATE> @ 15:58:36.909,POWELL,FALSE,4534,22,0,POINT (-122.48431 45.492249),46441,776,FALSE,4615,23,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 15:54:38.937,13895694,bus,3415
112,7435,-5,1,<DATE> @ 15:59:38.257,POWELL,FALSE,8812,24,0,POINT (-122.475819 45.490395),46533,776,FALSE,4522,25,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 15:55:39.016,13895694,bus,3415
113,7435,-52,1,<DATE> @ 16:00:37.563,POWELL,FALSE,8812,24,0,POINT (-122.474815 45.490087),46545,776,FALSE,4522,25,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 15:56:39.250,13895694,bus,3415
11,7434,0,1,<DATE> @ 16:07:34.142,POWELL,FALSE,,,0,POINT (-122.491904 45.556606),47014,776,FALSE,13939,1,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:03:36.398,13895695,bus,3418
287,7434,-5,1,<DATE> @ 16:08:36.626,POWELL,FALSE,13939,1,0,POINT (-122.492974 45.558066),47071,776,FALSE,13940,2,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:04:39.270,13895695,bus,3418
180,7434,16,1,<DATE> @ 16:09:35.995,POWELL,FALSE,13940,2,0,POINT (-122.500231 45.559182),47151,776,FALSE,13941,3,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:05:39.248,13895695,bus,3418
179,7434,-7,1,<DATE> @ 16:10:20.251,POWELL,FALSE,13941,3,0,POINT (-122.500232 45.557683),47173,776,FALSE,13942,4,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:06:24.226,13895695,bus,3418
177,7434,23,1,<DATE> @ 16:11:19.562,POWELL,FALSE,13942,4,0,POINT (-122.500245 45.551302),47262,776,FALSE,8571,5,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:07:21.042,13895695,bus,3418
108,7434,-4,1,<DATE> @ 16:12:19.903,POWELL,FALSE,13942,4,0,POINT (-122.498325 45.54995),47295,776,FALSE,8571,5,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:08:21.527,13895695,bus,3418
167,7434,-9,1,<DATE> @ 16:13:36.405,POWELL,FALSE,13943,6,0,POINT (-122.49582 45.546154),47367,776,FALSE,13944,7,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:09:39.331,13895695,bus,3418
180,7434,46,1,<DATE> @ 16:14:35.644,POWELL,FALSE,13944,7,0,POINT (-122.495798 45.537969),47481,776,FALSE,13945,8,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 162nd Av to 182nd-Powell,74  162nd Ave to 182nd & Powell,vm,<DATE> @ 16:10:39.124,13895695,bus,3418
