trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
0,7434,94,0,<DATE> @ 15:55:31.857,POWELL,FALSE,13963,14,0,POINT (-122.496495 45.519602),46385,777,FALSE,13964,15,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:51:33.179,13895544,bus,3418
0,7434,85,0,<DATE> @ 15:56:16.143,POWELL,FALSE,13964,15,0,POINT (-122.496472 45.521666),46421,777,FALSE,13965,16,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:52:18.316,13895544,bus,3418
0,7434,42,0,<DATE> @ 15:57:17.436,POWELL,FALSE,13964,15,0,POINT (-122.496464 45.522602),46439,777,FALSE,13965,16,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:53:18.188,13895544,bus,3418
1,7434,24,0,<DATE> @ 15:58:26.881,POWELL,FALSE,13965,16,0,POINT (-122.496421 45.526403),46490,777,FALSE,13966,17,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:54:30.070,13895544,bus,3418
3,7434,8,0,<DATE> @ 15:59:28.215,POWELL,FALSE,13966,17,0,POINT (-122.496151 45.529786),46536,777,FALSE,13967,18,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:55:30.353,13895544,bus,3418
2,7434,14,0,<DATE> @ 16:00:14.424,POWELL,FALSE,13967,18,0,POINT (-122.495851 45.533535),46588,777,FALSE,13968,19,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:56:15.353,13895544,bus,3418
0,7434,-51,0,<DATE> @ 16:01:34.980,POWELL,FALSE,13967,18,0,POINT (-122.495828 45.534668),46603,777,FALSE,13968,19,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:57:36.189,13895544,bus,3418
0,7434,-43,0,<DATE> @ 16:02:35.461,POWELL,FALSE,13969,20,0,POINT (-122.495783 45.539631),46672,777,FALSE,13970,21,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:58:36.351,13895544,bus,3418
0,7434,-27,0,<DATE> @ 16:03:11.612,POWELL,FALSE,13970,21,0,POINT (-122.495757 45.543399),46724,777,FALSE,13971,22,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 15:59:15.110,13895544,bus,3418
0,7434,-27,0,<DATE> @ 16:04:33.211,POWELL,FALSE,14218,23,0,POINT (-122.495935 45.549365),46806,777,FALSE,11072,24,FALSE,084C8D,74,Bus,<DATE> @ 03:00:00.000,74 To Airport Way & 158th,74  162nd Ave to Airport Way & 158th,vm,<DATE> @ 16:00:36.330,13895544,bus,3418
