trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
67,7505,0,0,<DATE> @ 15:55:21.837,CENTER,FALSE,9432,118,,POINT (-122.762687 45.60216),44877,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:51:24.737,13895927,bus,3138
67,7506,0,0,<DATE> @ 15:55:37.913,CENTER,FALSE,9432,118,,POINT (-122.762886 45.602101),45834,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:51:38.993,13895928,bus,4039
67,7505,0,0,<DATE> @ 15:56:22.129,CENTER,FALSE,9432,118,,POINT (-122.762687 45.60216),44877,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:52:24.104,13895927,bus,3138
67,7506,0,0,<DATE> @ 15:56:38.238,CENTER,FALSE,9432,118,,POINT (-122.762886 45.602101),45834,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:52:38.960,13895928,bus,4039
269,7508,-125,0,<DATE> @ 15:57:12.432,CENTER,FALSE,3507,94,0,POINT (-122.683165 45.577125),46267,674,FALSE,3485,95,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:53:15.517,13895930,bus,4055
67,7505,0,0,<DATE> @ 15:57:19.439,CENTER,FALSE,9432,118,,POINT (-122.76255 45.6022),44880,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:53:20.998,13895927,bus,3138
67,7506,0,0,<DATE> @ 15:57:36.575,CENTER,FALSE,9432,118,,POINT (-122.7627 45.602156),45837,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:53:39.265,13895928,bus,4039
269,7508,-59,0,<DATE> @ 15:58:12.830,CENTER,FALSE,3485,95,0,POINT (-122.692 45.577111),46393,674,FALSE,3483,96,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:54:15.409,13895930,bus,4055
297,7507,-530,0,<DATE> @ 15:58:17.838,CENTER,FALSE,3498,102,0,POINT (-122.721762 45.581636),45927,674,FALSE,3538,103,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:54:21.331,13895929,bus,4212
67,7506,0,0,<DATE> @ 15:58:37.911,CENTER,FALSE,9432,118,,POINT (-122.7627 45.602156),45837,674,FALSE,10697,119,FALSE,084C8D,75,Bus,<DATE> @ 03:00:00.000,75 To Pier Park,75  Lombard to Pier Park,vm,<DATE> @ 15:54:39.065,13895928,bus,4039
