trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
171,7667,-91,0,<DATE> @ 15:55:25.840,MERLO,FALSE,9076,47,,POINT (-122.751363 45.401099),46194,799,FALSE,9257,48,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:51:26.951,13896581,bus,3034
215,7687,22,0,<DATE> @ 15:55:37.881,MERLO,FALSE,9985,1,0,POINT (-122.80163 45.490914),46319,798,FALSE,9981,2,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:51:38.824,13896584,bus,4301
112,7689,-104,0,<DATE> @ 15:55:37.866,MERLO,FALSE,2292,15,0,POINT (-122.796356 45.461344),46193,798,FALSE,2283,16,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:51:38.845,13896583,bus,3043
112,7689,-105,0,<DATE> @ 15:56:11.100,MERLO,FALSE,2283,16,0,POINT (-122.794366 45.460763),46226,798,FALSE,2276,17,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:52:15.691,13896583,bus,3043
182,7687,-26,0,<DATE> @ 15:56:26.179,MERLO,FALSE,9985,1,0,POINT (-122.801676 45.4908),46320,798,FALSE,9981,2,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:52:30.410,13896584,bus,4301
196,7667,-81,0,<DATE> @ 15:56:25.163,MERLO,FALSE,9565,49,,POINT (-122.749196 45.397606),46264,799,FALSE,11945,50,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:52:30.435,13896581,bus,3034
170,7687,-47,0,<DATE> @ 15:57:25.509,MERLO,FALSE,9981,2,0,POINT (-122.801487 45.489144),46358,798,FALSE,8262,3,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:53:30.130,13896584,bus,4301
213,7667,-129,0,<DATE> @ 15:57:26.509,MERLO,FALSE,11945,50,,POINT (-122.749829 45.396908),46277,799,FALSE,7880,51,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:53:30.134,13896581,bus,3034
109,7689,-79,0,<DATE> @ 15:57:37.608,MERLO,FALSE,2290,18,0,POINT (-122.787362 45.458877),46338,798,FALSE,2272,19,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:53:39.051,13896583,bus,3043
177,7667,-138,0,<DATE> @ 15:58:18.838,MERLO,FALSE,11945,50,,POINT (-122.748675 45.394718),46320,799,FALSE,7880,51,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:54:21.374,13896581,bus,3034
122,7689,-61,0,<DATE> @ 15:58:21.867,MERLO,FALSE,2272,19,0,POINT (-122.783819 45.457463),46400,798,FALSE,2296,20,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:54:24.196,13896583,bus,3043
257,7687,-83,0,<DATE> @ 15:58:25.896,MERLO,FALSE,9981,2,0,POINT (-122.802735 45.488639),46382,798,FALSE,8262,3,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:54:30.074,13896584,bus,4301
231,7667,-152,0,<DATE> @ 15:59:19.161,MERLO,FALSE,7880,51,,POINT (-122.749871 45.392313),46367,799,FALSE,558,52,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:55:24.484,13896581,bus,3034
268,7687,-98,0,<DATE> @ 15:59:26.229,MERLO,FALSE,9981,2,0,POINT (-122.80605 45.488367),46428,798,FALSE,8262,3,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:55:26.949,13896584,bus,4301
126,7689,-74,0,<DATE> @ 15:59:31.231,MERLO,FALSE,2296,20,0,POINT (-122.780601 45.455998),46457,798,FALSE,6125,21,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:55:33.293,13896583,bus,3043
268,7687,-157,0,<DATE> @ 16:00:25.536,MERLO,FALSE,9981,2,0,POINT (-122.80605 45.488367),46428,798,FALSE,8262,3,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:56:27.098,13896584,bus,4301
245,7667,-132,0,<DATE> @ 16:00:24.504,MERLO,FALSE,514,53,,POINT (-122.755729 45.389128),46452,799,FALSE,495,54,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:56:27.121,13896581,bus,3034
147,7689,-111,0,<DATE> @ 16:00:34.562,MERLO,FALSE,6125,21,0,POINT (-122.780454 45.454965),46483,798,FALSE,9652,22,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:56:35.954,13896583,bus,3043
196,7667,-142,0,<DATE> @ 16:00:53.711,MERLO,FALSE,514,53,,POINT (-122.756619 45.388347),46471,799,FALSE,495,54,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:56:56.928,13896581,bus,3034
180,7687,-199,0,<DATE> @ 16:01:25.911,MERLO,FALSE,9981,2,0,POINT (-122.806312 45.487565),46446,798,FALSE,8262,3,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:57:30.093,13896584,bus,4301
92,7689,-106,0,<DATE> @ 16:01:34.980,MERLO,FALSE,6125,21,0,POINT (-122.779018 45.452864),46548,798,FALSE,9652,22,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:57:36.225,13896583,bus,3043
263,7667,-111,0,<DATE> @ 16:02:23.311,MERLO,FALSE,13078,55,,POINT (-122.763729 45.384322),46592,799,FALSE,13079,56,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:58:24.613,13896581,bus,3034
189,7687,-237,0,<DATE> @ 16:02:26.314,MERLO,FALSE,8262,3,0,POINT (-122.806166 45.486463),46469,798,FALSE,6178,4,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:58:26.981,13896584,bus,4301
179,7689,-158,0,<DATE> @ 16:02:38.400,MERLO,FALSE,6125,21,0,POINT (-122.778727 45.452433),46560,798,FALSE,9652,22,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:58:39.178,13896583,bus,3043
181,7667,-119,0,<DATE> @ 16:03:23.684,MERLO,FALSE,13079,56,,POINT (-122.764229 45.3817),46644,799,FALSE,13080,57,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall Blvd to Meridian Park Hospital,vm,<DATE> @ 15:59:30.410,13896581,bus,3034
213,7679,0,0,<DATE> @ 16:03:30.798,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46770,798,FALSE,9985,1,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:59:33.144,13896587,bus,3245
188,7687,-294,0,<DATE> @ 16:03:37.851,MERLO,FALSE,6178,4,0,POINT (-122.806318 45.485748),46483,798,FALSE,13197,5,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:59:39.281,13896584,bus,4301
213,7688,0,0,<DATE> @ 16:03:35.818,MERLO,FALSE,,,0,POINT (-122.801203 45.491344),46775,798,FALSE,9985,1,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:59:39.289,13896585,bus,3011
0,7689,-193,0,<DATE> @ 16:03:37.851,MERLO,FALSE,9652,22,0,POINT (-122.778894 45.452767),46584,798,FALSE,13588,23,FALSE,084C8D,76,Bus,<DATE> @ 03:00:00.000,76 To Meridian Park Hospital,76  Hall/Greenburg to Meridian Park Hospital via Tigard TC,vm,<DATE> @ 15:59:39.289,13896583,bus,3043
