trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
270,7704,-139,1,<DATE> @ 15:55:29.857,CENTER,FALSE,2445,49,,POINT (-122.595647 45.533657),46150,813,FALSE,2443,50,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:51:33.329,13897242,bus,3164
358,7712,-401,1,<DATE> @ 15:55:37.913,CENTER,FALSE,7113,83,0,POINT (-122.694485 45.52787),45896,813,FALSE,7122,84,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:51:38.790,13897240,bus,4208
180,7703,-43,1,<DATE> @ 15:55:37.913,CENTER,FALSE,10867,70,,POINT (-122.656596 45.531751),46254,813,FALSE,10876,71,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:51:38.942,13897241,bus,3114
180,7703,-73,1,<DATE> @ 15:56:11.100,CENTER,FALSE,10867,70,,POINT (-122.656597 45.531616),46258,813,FALSE,10876,71,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:52:15.963,13897241,bus,3114
93,7706,0,1,<DATE> @ 15:56:15.127,CENTER,FALSE,,,0,POINT (-122.393388 45.544511),46335,813,FALSE,9473,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:52:18.384,13897244,bus,3531
270,7704,-133,1,<DATE> @ 15:56:17.111,CENTER,FALSE,2441,51,,POINT (-122.600147 45.533701),46204,813,FALSE,2438,52,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:52:18.449,13897242,bus,3164
270,7705,129,1,<DATE> @ 15:56:15.127,CENTER,FALSE,2386,29,0,POINT (-122.512867 45.533667),46464,813,FALSE,2382,30,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:52:18.470,13897243,bus,4028
358,7712,-386,1,<DATE> @ 15:56:26.195,CENTER,FALSE,7113,83,0,POINT (-122.694568 45.530017),45960,813,FALSE,7122,84,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:52:30.382,13897240,bus,4208
269,7705,189,1,<DATE> @ 15:57:14.436,CENTER,FALSE,2379,32,0,POINT (-122.523871 45.533564),46583,813,FALSE,2375,33,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:53:15.496,13897243,bus,4028
358,7712,-390,1,<DATE> @ 15:57:16.467,CENTER,FALSE,7122,84,0,POINT (-122.694606 45.53115),46006,813,FALSE,7128,85,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Montgomery Park,77  Broadway/Halsey to Montgomery Park,vm,<DATE> @ 15:53:18.154,13897240,bus,4208
