trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
90,7709,49,0,<DATE> @ 15:55:37.881,CENTER,FALSE,2426,36,,POINT (-122.611548 45.533735),46346,809,FALSE,2429,37,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:51:38.803,13897086,bus,4222
356,7707,50,0,<DATE> @ 15:55:36.862,CENTER,FALSE,9470,90,,POINT (-122.390496 45.544083),46346,809,FALSE,10758,91,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:51:38.812,13897084,bus,4230
91,7708,-399,0,<DATE> @ 15:55:35.877,CENTER,FALSE,2460,52,0,POINT (-122.561267 45.533519),45896,809,FALSE,10747,53,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:51:38.950,13897085,bus,3131
88,7701,-225,0,<DATE> @ 15:55:37.881,CENTER,FALSE,1608,13,,POINT (-122.681901 45.525106),46072,809,FALSE,1607,14,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:51:38.982,13897087,bus,4022
269,7702,0,0,<DATE> @ 15:56:14.135,CENTER,FALSE,,,,POINT (-122.706559 45.537505),46334,809,FALSE,14365,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:52:15.964,13897088,bus,3130
88,7701,-184,0,<DATE> @ 15:56:19.129,CENTER,FALSE,8402,15,,POINT (-122.678455 45.525168),46155,809,FALSE,1606,16,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:52:21.305,13897087,bus,4022
260,7707,31,0,<DATE> @ 15:56:37.331,CENTER,FALSE,10758,91,,POINT (-122.392896 45.545622),46388,809,FALSE,9472,92,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:52:38.819,13897084,bus,4230
90,7709,118,0,<DATE> @ 15:56:38.238,CENTER,FALSE,2430,38,,POINT (-122.604175 45.533711),46476,809,FALSE,2434,39,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:52:38.821,13897086,bus,4222
89,7708,-426,0,<DATE> @ 15:56:36.221,CENTER,FALSE,2460,52,0,POINT (-122.5586 45.533539),45930,809,FALSE,10747,53,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:52:38.917,13897085,bus,3131
269,7702,0,0,<DATE> @ 15:57:13.420,CENTER,FALSE,,,,POINT (-122.706559 45.537505),46393,809,FALSE,14365,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:53:15.460,13897088,bus,3130
89,7708,-473,0,<DATE> @ 15:57:26.540,CENTER,FALSE,10747,53,0,POINT (-122.558334 45.533541),45933,809,FALSE,14071,54,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:53:30.259,13897085,bus,3131
88,7701,-190,0,<DATE> @ 15:57:32.550,CENTER,FALSE,1606,16,,POINT (-122.67572 45.52522),46222,809,FALSE,8886,17,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:53:36.361,13897087,bus,4022
89,7709,92,0,<DATE> @ 15:57:37.576,CENTER,FALSE,2434,39,,POINT (-122.602348 45.533707),46509,809,FALSE,2439,40,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:53:39.008,13897086,bus,4222
83,7707,86,0,<DATE> @ 15:57:37.576,CENTER,FALSE,9472,92,,POINT (-122.398786 45.544347),46503,809,FALSE,9481,93,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:53:39.027,13897084,bus,4230
269,7702,0,0,<DATE> @ 15:58:13.784,CENTER,FALSE,,,,POINT (-122.706559 45.537505),46453,809,FALSE,14365,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:54:15.367,13897088,bus,3130
88,7701,-214,0,<DATE> @ 15:58:18.838,CENTER,FALSE,8886,17,,POINT (-122.674702 45.525238),46244,809,FALSE,1612,18,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:54:21.465,13897087,bus,4022
90,7708,-481,0,<DATE> @ 15:58:34.878,CENTER,FALSE,14071,54,0,POINT (-122.553583 45.533513),45993,809,FALSE,2358,55,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:54:36.271,13897085,bus,3131
90,7709,141,0,<DATE> @ 15:58:37.895,CENTER,FALSE,2440,41,,POINT (-122.596165 45.533664),46618,809,FALSE,2442,42,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:54:38.925,13897086,bus,4222
269,7702,0,0,<DATE> @ 15:59:13.128,CENTER,FALSE,,,,POINT (-122.706559 45.537505),46513,809,FALSE,14365,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:55:15.411,13897088,bus,3130
90,7708,-492,0,<DATE> @ 15:59:34.251,CENTER,FALSE,14071,54,0,POINT (-122.5497 45.533493),46042,809,FALSE,2358,55,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:55:36.279,13897085,bus,3131
89,7709,223,0,<DATE> @ 15:59:38.257,CENTER,FALSE,2448,44,,POINT (-122.588151 45.533593),46761,809,FALSE,2450,45,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:55:39.007,13897086,bus,4222
57,7701,-132,0,<DATE> @ 15:59:36.251,CENTER,FALSE,1612,18,,POINT (-122.66988 45.527154),46404,809,FALSE,11817,19,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:55:39.139,13897087,bus,4022
89,7709,267,0,<DATE> @ 16:00:08.389,CENTER,FALSE,2452,46,,POINT (-122.584033 45.533602),46835,809,FALSE,2454,47,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:56:09.321,13897086,bus,4222
269,7702,0,0,<DATE> @ 16:00:13.439,CENTER,FALSE,,,,POINT (-122.706559 45.537505),46573,809,FALSE,14365,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:56:15.590,13897088,bus,3130
94,7708,-490,0,<DATE> @ 16:00:17.440,CENTER,FALSE,2358,55,0,POINT (-122.546063 45.533461),46087,809,FALSE,2360,56,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:56:17.934,13897085,bus,3131
301,7701,-30,0,<DATE> @ 16:00:35.578,CENTER,FALSE,1612,18,,POINT (-122.666575 45.529774),46565,809,FALSE,11817,19,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:56:39.410,13897087,bus,4022
179,7702,0,0,<DATE> @ 16:00:53.711,CENTER,FALSE,,,,POINT (-122.70691 45.537432),46613,809,FALSE,14365,1,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:56:57.103,13897088,bus,3130
89,7708,-451,0,<DATE> @ 16:01:17.892,CENTER,FALSE,2360,56,0,POINT (-122.538217 45.533564),46186,809,FALSE,2366,57,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:57:21.359,13897085,bus,3131
42,7701,-43,0,<DATE> @ 16:01:35.011,CENTER,FALSE,1612,18,,POINT (-122.66631 45.530657),46612,809,FALSE,11817,19,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:57:36.324,13897087,bus,4022
89,7709,289,0,<DATE> @ 16:01:36.996,CENTER,FALSE,2454,47,,POINT (-122.579268 45.532413),46945,809,FALSE,9217,48,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:57:38.969,13897086,bus,4222
89,7708,-507,0,<DATE> @ 16:02:17.198,CENTER,FALSE,2360,56,0,POINT (-122.537916 45.533566),46190,809,FALSE,2366,57,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:58:18.201,13897085,bus,3131
89,7702,12,0,<DATE> @ 16:02:19.261,CENTER,FALSE,14247,2,,POINT (-122.703182 45.536847),46711,809,FALSE,6013,3,FALSE,084C8D,77,Bus,<DATE> @ 03:00:00.000,77 To Troutdale,77  Broadway/Halsey to Troutdale,vm,<DATE> @ 15:58:24.774,13897088,bus,3130
