trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
179,7867,-25,0,<DATE> @ 15:55:25.871,MERLO,FALSE,6125,20,0,POINT (-122.778727 45.452433),46260,815,FALSE,9652,21,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:51:26.888,13897390,bus,3242
104,7873,-634,0,<DATE> @ 15:55:29.873,MERLO,FALSE,2496,39,0,POINT (-122.749282 45.427582),45655,817,FALSE,2494,40,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:51:33.218,13897389,bus,3040
213,7677,0,0,<DATE> @ 15:56:13.103,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46333,815,FALSE,9985,1,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:52:15.369,13897391,bus,3640
0,7867,-69,0,<DATE> @ 15:56:26.195,MERLO,FALSE,9652,21,0,POINT (-122.778894 45.452701),46277,815,FALSE,9221,22,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:52:30.288,13897390,bus,3242
0,7873,-621,0,<DATE> @ 15:56:30.212,MERLO,FALSE,2494,40,0,POINT (-122.746831 45.429832),45729,817,FALSE,7847,41,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:52:32.858,13897389,bus,3040
213,7677,0,0,<DATE> @ 15:57:12.432,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46392,815,FALSE,9985,1,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:53:14.841,13897391,bus,3640
0,7867,-87,0,<DATE> @ 15:57:25.524,MERLO,FALSE,9652,21,0,POINT (-122.776397 45.453696),46318,815,FALSE,9221,22,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:53:30.032,13897390,bus,3242
0,7873,-612,0,<DATE> @ 15:57:23.477,MERLO,FALSE,7847,41,0,POINT (-122.746771 45.433282),45791,817,FALSE,7849,42,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:53:30.144,13897389,bus,3040
213,7677,0,0,<DATE> @ 15:58:11.797,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46451,815,FALSE,9985,1,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:54:15.172,13897391,bus,3640
115,7867,-91,0,<DATE> @ 15:58:25.896,MERLO,FALSE,2282,23,0,POINT (-122.771939 45.452532),46374,815,FALSE,2312,24,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:54:29.945,13897390,bus,3242
0,7873,-628,0,<DATE> @ 15:58:31.901,MERLO,FALSE,7844,43,0,POINT (-122.746682 45.436169),45843,817,FALSE,2257,44,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:54:32.917,13897389,bus,3040
213,7677,0,0,<DATE> @ 15:59:12.141,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46512,815,FALSE,9985,1,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:55:15.118,13897391,bus,3640
113,7867,-103,0,<DATE> @ 15:59:25.213,MERLO,FALSE,2312,24,0,POINT (-122.767866 45.451252),46422,815,FALSE,2308,25,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:55:26.871,13897390,bus,3242
90,7873,-612,0,<DATE> @ 15:59:31.231,MERLO,FALSE,7844,43,0,POINT (-122.741395 45.436913),45919,817,FALSE,2257,44,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:55:33.295,13897389,bus,3040
213,7677,0,0,<DATE> @ 16:00:12.484,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46572,815,FALSE,9985,1,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:56:15.008,13897391,bus,3640
180,7867,-72,0,<DATE> @ 16:00:26.489,MERLO,FALSE,13581,27,0,POINT (-122.765632 45.446798),46514,815,FALSE,14466,28,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:56:29.825,13897390,bus,3242
3,7873,-635,0,<DATE> @ 16:00:27.537,MERLO,FALSE,3387,45,0,POINT (-122.741155 45.438618),45952,817,FALSE,3393,46,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:56:29.903,13897389,bus,3040
213,7677,-11,0,<DATE> @ 16:01:11.853,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46620,815,FALSE,9985,1,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:57:14.750,13897391,bus,3640
269,7867,-78,0,<DATE> @ 16:01:24.911,MERLO,FALSE,14466,28,0,POINT (-122.77013 45.446881),46566,815,FALSE,12404,29,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:57:29.992,13897390,bus,3242
49,7873,-602,0,<DATE> @ 16:01:26.943,MERLO,FALSE,3393,46,0,POINT (-122.735336 45.440789),46044,817,FALSE,4427,47,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:57:30.139,13897389,bus,3040
269,7867,-81,0,<DATE> @ 16:02:26.314,MERLO,FALSE,14466,28,0,POINT (-122.775548 45.446843),46625,815,FALSE,12404,29,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:58:26.888,13897390,bus,3242
215,7677,31,0,<DATE> @ 16:02:28.284,MERLO,FALSE,9985,1,,POINT (-122.801584 45.490958),46739,815,FALSE,9981,2,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:58:29.700,13897391,bus,3640
177,7873,-579,0,<DATE> @ 16:02:27.314,MERLO,FALSE,4427,47,0,POINT (-122.729446 45.440749),46128,817,FALSE,4431,48,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:58:29.832,13897389,bus,3040
199,7677,-13,0,<DATE> @ 16:03:13.584,MERLO,FALSE,9985,1,,POINT (-122.801655 45.490876),46740,815,FALSE,9981,2,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:59:14.941,13897391,bus,3640
194,7867,-98,0,<DATE> @ 16:03:26.794,MERLO,FALSE,12404,29,0,POINT (-122.777054 45.444527),46668,815,FALSE,2233,30,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 15:59:30.302,13897390,bus,3242
245,7873,-582,0,<DATE> @ 16:03:26.794,MERLO,FALSE,4427,47,0,POINT (-122.7292 45.438485),46184,817,FALSE,4431,48,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 15:59:30.424,13897389,bus,3040
170,7677,-36,0,<DATE> @ 16:04:14.025,MERLO,FALSE,9981,2,,POINT (-122.801511 45.489249),46778,815,FALSE,12945,3,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:00:15.109,13897391,bus,3640
190,7867,-153,0,<DATE> @ 16:04:26.221,MERLO,FALSE,12404,29,0,POINT (-122.777095 45.444202),46673,815,FALSE,2233,30,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:00:26.989,13897390,bus,3242
44,7873,-611,0,<DATE> @ 16:04:38.235,MERLO,FALSE,4431,48,0,POINT (-122.727878 45.438123),46227,817,FALSE,13645,49,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 16:00:39.279,13897389,bus,3040
216,7867,-175,0,<DATE> @ 16:05:26.462,MERLO,FALSE,12404,29,0,POINT (-122.778559 45.441971),46711,815,FALSE,2233,30,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:01:26.888,13897390,bus,3242
166,7677,-70,0,<DATE> @ 16:05:37.553,MERLO,FALSE,12945,3,,POINT (-122.800353 45.487035),46827,815,FALSE,8491,4,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:01:38.999,13897391,bus,3640
66,7873,-648,0,<DATE> @ 16:05:37.537,MERLO,FALSE,4431,48,0,POINT (-122.727536 45.439486),46249,817,FALSE,13645,49,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 16:01:39.208,13897389,bus,3040
161,7867,-180,0,<DATE> @ 16:06:25.923,MERLO,FALSE,12404,29,0,POINT (-122.779405 45.438756),46765,815,FALSE,2233,30,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:02:26.894,13897390,bus,3242
180,7677,-117,0,<DATE> @ 16:06:37.910,MERLO,FALSE,12945,3,,POINT (-122.80037 45.486399),46840,815,FALSE,8491,4,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:02:39.282,13897391,bus,3640
97,7873,-635,0,<DATE> @ 16:06:37.863,MERLO,FALSE,13645,49,0,POINT (-122.723272 45.436081),46322,817,FALSE,3125,50,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 16:02:39.509,13897389,bus,3040
128,7867,-123,0,<DATE> @ 16:07:27.146,MERLO,FALSE,12404,29,0,POINT (-122.770132 45.435115),46884,815,FALSE,2233,30,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:03:30.166,13897390,bus,3242
179,7677,-110,0,<DATE> @ 16:07:38.193,MERLO,FALSE,8491,4,,POINT (-122.800336 45.48305),46908,815,FALSE,3584,5,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:03:39.075,13897391,bus,3640
133,7873,-601,0,<DATE> @ 16:07:38.161,MERLO,FALSE,3125,50,0,POINT (-122.718451 45.4312),46417,817,FALSE,672,51,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 16:03:39.299,13897389,bus,3040
180,7677,-73,0,<DATE> @ 16:08:09.437,MERLO,FALSE,3586,6,,POINT (-122.800341 45.479732),46976,815,FALSE,3581,7,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:04:12.283,13897391,bus,3640
99,7873,-579,0,<DATE> @ 16:08:12.531,MERLO,FALSE,3141,52,0,POINT (-122.714811 45.428069),46473,817,FALSE,3134,53,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Kerr Parkway to Lake Oswego TC,vm,<DATE> @ 16:04:15.324,13897389,bus,3040
135,7867,-160,0,<DATE> @ 16:08:35.595,MERLO,FALSE,2233,30,0,POINT (-122.768031 45.433751),46915,815,FALSE,10873,31,FALSE,084C8D,78,Bus,<DATE> @ 03:00:00.000,78 To Lake Oswego TC,78  Denney/Kerr Parkway to Lake Oswego TC via Tigard TC,vm,<DATE> @ 16:04:39.139,13897390,bus,3242
