trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
353,7937,-110,0,<DATE> @ 16:00:24.504,POWELL,FALSE,13248,1,0,POINT (-122.569124 45.436078),46474,824,FALSE,12922,2,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 15:56:27.045,13897644,bus,3725
271,7937,-113,0,<DATE> @ 16:01:19.908,POWELL,FALSE,13248,1,0,POINT (-122.570004 45.437186),46526,824,FALSE,12922,2,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 15:57:21.204,13897644,bus,3725
270,7937,-90,0,<DATE> @ 16:02:30.284,POWELL,FALSE,13248,1,0,POINT (-122.574019 45.437411),46620,824,FALSE,12922,2,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 15:58:33.019,13897644,bus,3725
270,7937,-79,0,<DATE> @ 16:03:28.798,POWELL,FALSE,12922,2,0,POINT (-122.577947 45.438279),46689,824,FALSE,8006,3,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 15:59:30.360,13897644,bus,3725
270,7937,-133,0,<DATE> @ 16:04:30.160,POWELL,FALSE,12922,2,0,POINT (-122.578567 45.438279),46697,824,FALSE,8006,3,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:00:32.912,13897644,bus,3725
180,7937,-161,0,<DATE> @ 16:05:29.480,POWELL,FALSE,12922,2,0,POINT (-122.579049 45.436849),46728,824,FALSE,8006,3,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:01:30.263,13897644,bus,3725
182,7937,-157,0,<DATE> @ 16:06:33.830,POWELL,FALSE,8050,4,0,POINT (-122.579232 45.433048),46796,824,FALSE,7975,5,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:02:35.994,13897644,bus,3725
174,7937,-169,0,<DATE> @ 16:07:33.140,POWELL,FALSE,7975,5,0,POINT (-122.57917 45.430454),46844,824,FALSE,10446,6,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:03:36.346,13897644,bus,3725
166,7937,-87,0,<DATE> @ 16:08:33.609,POWELL,FALSE,10446,6,0,POINT (-122.576727 45.422629),46986,824,FALSE,8075,7,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:04:36.372,13897644,bus,3725
155,7937,5,0,<DATE> @ 16:09:32.916,POWELL,FALSE,8075,7,0,POINT (-122.570069 45.416211),47137,824,FALSE,8077,8,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:05:36.332,13897644,bus,3725
158,7937,-4,0,<DATE> @ 16:10:13.232,POWELL,FALSE,8077,8,0,POINT (-122.56902 45.41458),47169,824,FALSE,8082,9,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:06:15.341,13897644,bus,3725
179,7937,25,0,<DATE> @ 16:11:30.648,POWELL,FALSE,8082,9,0,POINT (-122.568856 45.408783),47275,824,FALSE,8086,10,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:07:33.459,13897644,bus,3725
180,7937,-17,0,<DATE> @ 16:12:30.943,POWELL,FALSE,8086,10,0,POINT (-122.568856 45.407817),47293,824,FALSE,8072,11,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:08:33.044,13897644,bus,3725
180,7937,-79,0,<DATE> @ 16:13:32.362,POWELL,FALSE,8086,10,0,POINT (-122.568856 45.407817),47293,824,FALSE,8072,11,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:09:33.195,13897644,bus,3725
180,7937,-124,0,<DATE> @ 16:14:31.623,POWELL,FALSE,8086,10,0,POINT (-122.56886 45.407052),47307,824,FALSE,8072,11,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:10:33.257,13897644,bus,3725
180,7937,-153,0,<DATE> @ 16:15:37.119,POWELL,FALSE,8072,11,0,POINT (-122.568867 45.404917),47344,824,FALSE,8067,12,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:11:39.310,13897644,bus,3725
184,7937,-164,0,<DATE> @ 16:16:25.427,POWELL,FALSE,8067,12,0,POINT (-122.569028 45.401929),47381,824,FALSE,8085,13,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:12:27.411,13897644,bus,3725
219,7937,-170,0,<DATE> @ 16:17:25.818,POWELL,FALSE,8085,13,0,POINT (-122.570147 45.398189),47435,824,FALSE,8080,14,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:13:27.201,13897644,bus,3725
174,7935,0,0,<DATE> @ 16:17:35.809,POWELL,FALSE,,,0,POINT (-122.568589 45.435678),47615,824,FALSE,13248,1,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:13:39.291,13897645,bus,3950
186,7937,-119,0,<DATE> @ 16:18:24.069,POWELL,FALSE,14046,16,0,POINT (-122.575389 45.39053),47545,824,FALSE,14047,17,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:14:27.495,13897644,bus,3725
174,7935,0,0,<DATE> @ 16:18:34.153,POWELL,FALSE,,,0,POINT (-122.568589 45.435678),47674,824,FALSE,13248,1,FALSE,084C8D,79,Bus,<DATE> @ 03:00:00.000,79 To Oregon City TC,79  Oregon City TC,vm,<DATE> @ 16:14:36.436,13897645,bus,3950
