trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
89,804,-40,0,<DATE> @ 15:55:34.877,CENTER,FALSE,1265,7,0,POINT (-122.652751 45.571765),46254,165,FALSE,1264,8,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:51:36.170,13881002,bus,4057
146,801,-87,0,<DATE> @ 15:55:37.881,CENTER,FALSE,5804,45,0,POINT (-122.682643 45.499271),46210,164,FALSE,11010,46,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park to Marquam Hill,vm,<DATE> @ 15:51:38.886,13880999,bus,3501
233,802,-543,0,<DATE> @ 15:55:36.862,CENTER,FALSE,4043,33,0,POINT (-122.662794 45.531146),45753,165,FALSE,11492,34,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:51:39.000,13881000,bus,4026
269,805,0,0,<DATE> @ 15:56:15.127,CENTER,FALSE,,,0,POINT (-122.662337 45.580691),46335,165,FALSE,13660,1,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:52:18.434,13881003,bus,3124
180,803,-191,0,<DATE> @ 15:56:18.160,CENTER,FALSE,6817,26,,POINT (-122.650491 45.535549),46147,165,FALSE,6779,27,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:52:21.139,13881001,bus,4205
89,804,-67,0,<DATE> @ 15:56:21.129,CENTER,FALSE,1264,8,0,POINT (-122.650228 45.571864),46274,165,FALSE,6794,9,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:52:24.159,13881002,bus,4057
192,802,-527,0,<DATE> @ 15:56:27.210,CENTER,FALSE,11492,34,0,POINT (-122.66586 45.53056),45820,165,FALSE,2592,35,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:52:30.684,13881000,bus,4026
269,805,0,0,<DATE> @ 15:57:15.436,CENTER,FALSE,,,0,POINT (-122.662337 45.580691),46395,165,FALSE,13660,1,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:53:18.255,13881003,bus,3124
180,803,-221,0,<DATE> @ 15:57:18.455,CENTER,FALSE,6817,26,,POINT (-122.650504 45.534468),46177,165,FALSE,6779,27,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:53:20.894,13881001,bus,4205
179,804,-126,0,<DATE> @ 15:57:28.517,CENTER,FALSE,1264,8,0,POINT (-122.650046 45.571183),46282,165,FALSE,6794,9,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  OHSU-VA Hosp,8  Jackson Park/NE 15th to Marquam Hill via City Center,vm,<DATE> @ 15:53:30.328,13881002,bus,4057
