trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
83,810,100,1,<DATE> @ 15:55:24.856,CENTER,FALSE,14475,10,,POINT (-122.688808 45.502715),46384,170,FALSE,9861,11,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:51:27.143,13881304,bus,4038
354,810,168,1,<DATE> @ 15:56:24.179,CENTER,FALSE,9861,11,,POINT (-122.68426 45.504932),46512,170,FALSE,7793,12,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:52:30.724,13881304,bus,4038
185,801,-3,0,<DATE> @ 15:56:37.237,CENTER,FALSE,11010,46,0,POINT (-122.68245 45.495081),46354,170,FALSE,8455,47,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:52:38.881,13880999,bus,3501
358,810,127,1,<DATE> @ 15:57:24.509,CENTER,FALSE,9861,11,,POINT (-122.684308 45.505549),46531,170,FALSE,7793,12,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:53:30.321,13881304,bus,4038
22,801,26,0,<DATE> @ 15:57:36.575,CENTER,FALSE,11010,46,0,POINT (-122.682278 45.496396),46442,170,FALSE,8455,47,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:53:39.107,13880999,bus,3501
359,810,65,1,<DATE> @ 15:58:34.925,CENTER,FALSE,7793,12,,POINT (-122.684312 45.505815),46539,170,FALSE,7749,13,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:54:36.320,13881304,bus,4038
209,801,22,0,<DATE> @ 15:58:37.911,CENTER,FALSE,8455,47,0,POINT (-122.683193 45.497065),46499,170,FALSE,5975,48,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:54:38.990,13880999,bus,3501
208,801,-19,0,<DATE> @ 15:59:24.197,CENTER,FALSE,5975,48,0,POINT (-122.683347 45.49687),46505,170,FALSE,1947,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:55:27.009,13880999,bus,3501
252,801,-22,0,<DATE> @ 16:00:24.504,CENTER,FALSE,5975,48,0,POINT (-122.684843 45.496575),46562,170,FALSE,1947,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:56:27.174,13880999,bus,3501
283,801,-7,0,<DATE> @ 16:00:53.711,CENTER,FALSE,5975,48,0,POINT (-122.685988 45.495633),46606,170,FALSE,1947,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:56:56.995,13880999,bus,3501
1,801,11,0,<DATE> @ 16:02:23.311,CENTER,FALSE,1945,51,0,POINT (-122.691343 45.497216),46714,170,FALSE,6548,52,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:58:24.687,13880999,bus,3501
84,801,24,0,<DATE> @ 16:03:23.716,CENTER,FALSE,6548,52,0,POINT (-122.689634 45.499057),46787,170,FALSE,5032,53,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 15:59:30.461,13880999,bus,3501
79,801,6,0,<DATE> @ 16:04:24.096,CENTER,FALSE,6548,52,0,POINT (-122.68703 45.499142),46830,170,FALSE,5032,53,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:00:27.151,13880999,bus,3501
54,801,0,1,<DATE> @ 16:05:16.409,CENTER,FALSE,,,0,POINT (-122.685589 45.499398),46876,170,FALSE,5028,1,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:01:18.134,13881305,bus,3501
54,801,0,1,<DATE> @ 16:06:16.799,CENTER,FALSE,,,0,POINT (-122.685589 45.499398),46936,170,FALSE,5028,1,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:02:18.425,13881305,bus,3501
45,801,-31,1,<DATE> @ 16:07:31.248,CENTER,FALSE,,,0,POINT (-122.68551 45.499446),46980,170,FALSE,5028,1,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:03:33.080,13881305,bus,3501
242,801,41,1,<DATE> @ 16:08:31.635,CENTER,FALSE,14475,3,0,POINT (-122.685819 45.501819),47112,170,FALSE,9861,4,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:04:33.119,13881305,bus,3501
89,801,139,1,<DATE> @ 16:09:30.992,CENTER,FALSE,14475,3,0,POINT (-122.689534 45.502671),47269,170,FALSE,9861,4,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:05:33.154,13881305,bus,3501
55,801,188,1,<DATE> @ 16:10:31.350,CENTER,FALSE,9861,4,0,POINT (-122.684827 45.503973),47379,170,FALSE,7793,5,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE Dekum,8  Jackson Park/NE 15th to NE Dekum via City Center,vm,<DATE> @ 16:06:33.243,13881305,bus,3501
