trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
269,806,0,1,<DATE> @ 15:55:32.876,CENTER,FALSE,5932,48,0,POINT (-122.661995 45.580692),45600,174,FALSE,13660,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:51:36.066,13881300,bus,3527
0,808,-203,1,<DATE> @ 15:55:32.876,CENTER,FALSE,9342,21,,POINT (-122.650497 45.534867),46089,174,FALSE,6843,22,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:51:36.176,13881302,bus,4056
0,807,-270,1,<DATE> @ 15:56:13.119,CENTER,FALSE,6803,39,,POINT (-122.650046 45.570932),46063,174,FALSE,6780,40,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:52:16.068,13881301,bus,4041
0,808,-189,1,<DATE> @ 15:56:20.145,CENTER,FALSE,6834,23,,POINT (-122.650478 45.537419),46151,174,FALSE,6815,24,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:52:21.321,13881302,bus,4056
358,809,-80,1,<DATE> @ 15:56:22.129,CENTER,FALSE,7751,11,,POINT (-122.676487 45.524217),46262,174,FALSE,8886,12,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:52:23.962,13881303,bus,4234
269,806,0,1,<DATE> @ 15:56:33.203,CENTER,FALSE,5932,48,0,POINT (-122.661995 45.580692),45600,174,FALSE,13660,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:52:36.147,13881300,bus,3527
271,807,-239,1,<DATE> @ 15:57:15.436,CENTER,FALSE,1275,41,,POINT (-122.65422 45.571767),46156,174,FALSE,1267,42,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:53:18.284,13881301,bus,4041
88,809,-72,1,<DATE> @ 15:57:21.474,CENTER,FALSE,8886,12,,POINT (-122.675401 45.525225),46329,174,FALSE,1612,13,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:53:24.217,13881303,bus,4234
269,806,0,1,<DATE> @ 15:57:33.552,CENTER,FALSE,5932,48,0,POINT (-122.661995 45.580692),45600,174,FALSE,13660,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:53:36.254,13881300,bus,3527
0,808,-157,1,<DATE> @ 15:57:34.559,CENTER,FALSE,6777,25,,POINT (-122.650449 45.541816),46257,174,FALSE,6799,26,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:53:36.396,13881302,bus,4056
87,809,-46,1,<DATE> @ 15:58:21.867,CENTER,FALSE,1612,13,,POINT (-122.671868 45.525287),46415,174,FALSE,11817,14,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:54:24.158,13881303,bus,4234
270,807,-207,1,<DATE> @ 15:58:23.865,CENTER,FALSE,1292,43,,POINT (-122.660188 45.571786),46256,174,FALSE,1273,44,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:54:30.269,13881301,bus,4041
269,806,0,1,<DATE> @ 15:58:33.940,CENTER,FALSE,5932,48,0,POINT (-122.661995 45.580692),45600,174,FALSE,13660,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:54:36.229,13881300,bus,3527
0,808,-101,1,<DATE> @ 15:58:33.940,CENTER,FALSE,6808,27,,POINT (-122.650415 45.546652),46372,174,FALSE,6785,28,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:54:36.320,13881302,bus,4056
0,808,-102,1,<DATE> @ 15:59:17.144,CENTER,FALSE,6785,28,,POINT (-122.650404 45.548468),46415,174,FALSE,6783,29,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:55:18.258,13881302,bus,4056
65,809,11,1,<DATE> @ 15:59:22.177,CENTER,FALSE,1612,13,,POINT (-122.666864 45.528579),46533,174,FALSE,11817,14,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:55:24.458,13881303,bus,4234
0,807,-202,1,<DATE> @ 15:59:24.197,CENTER,FALSE,5899,45,,POINT (-122.661303 45.573719),46322,174,FALSE,5937,46,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:55:27.148,13881301,bus,4041
269,806,0,1,<DATE> @ 15:59:33.234,CENTER,FALSE,5932,48,0,POINT (-122.661995 45.580692),45600,174,FALSE,13660,49,FALSE,084C8D,8,Bus,<DATE> @ 03:00:00.000,8  To NE M L King & Lombard,8  NE 15th Ave to NE M L King & Lombard,vm,<DATE> @ 15:55:36.235,13881300,bus,3527
