trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
104,8136,0,0,<DATE> @ 16:14:17.569,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47417,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:10:21.003,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:15:17.984,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47477,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:11:24.653,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:16:16.344,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47536,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:12:18.114,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:17:17.721,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47597,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:13:24.954,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:18:17.048,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47657,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:14:18.624,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:19:18.431,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47718,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:15:21.420,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:20:15.805,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47775,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:16:18.354,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:21:17.193,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47837,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:17:18.250,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:22:18.533,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47898,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:18:21.300,13897921,bus,4008
104,8136,0,0,<DATE> @ 16:23:16.811,POWELL,FALSE,,,0,POINT (-122.426992 45.502742),47956,833,FALSE,10857,1,FALSE,084C8D,81,Bus,<DATE> @ 03:00:00.000,81 To TRIP Industrial Park,81  Kane/257th to Troutdale Reynolds Industrial Park,vm,<DATE> @ 16:19:18.232,13897921,bus,4008
