trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
0,8867,-73,0,<DATE> @ 15:55:33.877,MERLO,FALSE,9671,28,,POINT (-122.851833 45.475851),46220,982,FALSE,9672,29,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:51:35.896,13898361,bus,3216
246,8867,-58,0,<DATE> @ 15:56:34.221,MERLO,FALSE,9673,30,,POINT (-122.851924 45.481705),46296,982,FALSE,1682,31,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:52:35.982,13898361,bus,3216
213,8868,0,0,<DATE> @ 15:56:38.254,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46358,982,FALSE,9985,1,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:52:38.760,13898362,bus,3218
213,8868,0,0,<DATE> @ 15:57:10.448,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46390,982,FALSE,9985,1,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:53:14.936,13898362,bus,3218
237,8867,-51,0,<DATE> @ 15:57:34.559,MERLO,FALSE,1657,33,,POINT (-122.859088 45.479079),46363,982,FALSE,13579,34,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:53:36.089,13898361,bus,3216
213,8868,0,0,<DATE> @ 15:58:11.797,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46451,982,FALSE,9985,1,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:54:15.209,13898362,bus,3218
239,8867,-44,0,<DATE> @ 15:58:33.971,MERLO,FALSE,13579,34,,POINT (-122.865791 45.476074),46429,982,FALSE,9674,35,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:54:36.048,13898361,bus,3216
232,8867,-40,0,<DATE> @ 15:59:34.251,MERLO,FALSE,1689,36,,POINT (-122.871565 45.472881),46494,982,FALSE,1691,37,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:55:36.002,13898361,bus,3216
213,8868,0,0,<DATE> @ 15:59:38.304,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46538,982,FALSE,9985,1,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:55:38.941,13898362,bus,3218
213,8868,0,0,<DATE> @ 16:00:11.437,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46571,982,FALSE,9985,1,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:56:15.114,13898362,bus,3218
251,8867,-20,0,<DATE> @ 16:00:34.562,MERLO,FALSE,1694,38,,POINT (-122.879844 45.470519),46574,982,FALSE,7071,39,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:56:35.844,13898361,bus,3216
213,8868,0,0,<DATE> @ 16:01:11.853,MERLO,FALSE,,,,POINT (-122.801203 45.491344),46631,982,FALSE,9985,1,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:57:14.820,13898362,bus,3218
359,8867,-15,0,<DATE> @ 16:01:34.980,MERLO,FALSE,7071,39,,POINT (-122.881744 45.473871),46639,982,FALSE,7077,40,FALSE,084C8D,88,Bus,<DATE> @ 03:00:00.000,88 To Willow Ck-185th TC,88  Hart/198th to Willow Creek/SW 185th Ave TC,vm,<DATE> @ 15:57:36.099,13898361,bus,3216
