trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
223,940,0,0,<DATE> @ 15:55:23.840,POWELL,FALSE,,,,POINT (-122.675424 45.527631),46283,188,FALSE,9573,1,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:51:26.979,13881627,bus,3936
89,938,-25,0,<DATE> @ 15:55:24.840,POWELL,FALSE,13772,9,,POINT (-122.661884 45.506549),46259,188,FALSE,13778,10,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:51:27.098,13881625,bus,4013
111,936,32,0,<DATE> @ 15:55:27.857,POWELL,FALSE,4707,35,,POINT (-122.561893 45.496495),46319,188,FALSE,14018,36,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:51:29.796,13881623,bus,3726
105,935,117,0,<DATE> @ 15:55:29.873,POWELL,FALSE,4612,58,,POINT (-122.486973 45.492785),46406,188,FALSE,4534,59,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:51:33.317,13881622,bus,4011
83,937,-96,0,<DATE> @ 15:55:36.862,POWELL,FALSE,4648,18,0,POINT (-122.622175 45.497352),46200,188,FALSE,4651,19,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:51:38.774,13881624,bus,3728
0,934,-140,0,<DATE> @ 15:56:16.143,POWELL,FALSE,4557,72,0,POINT (-122.430983 45.498702),46196,188,FALSE,3715,73,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:18.284,13881621,bus,3327
223,940,0,0,<DATE> @ 15:56:23.116,POWELL,FALSE,,,,POINT (-122.675424 45.527631),46343,188,FALSE,9573,1,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:24.008,13881627,bus,3936
111,936,-16,0,<DATE> @ 15:56:24.163,POWELL,FALSE,14018,36,,POINT (-122.561402 45.496358),46328,188,FALSE,4562,37,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:30.335,13881623,bus,3726
178,939,-55,0,<DATE> @ 15:56:27.163,POWELL,FALSE,9301,2,,POINT (-122.67542 45.523369),46292,188,FALSE,7636,3,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:30.468,13881626,bus,3905
180,938,36,0,<DATE> @ 15:56:24.163,POWELL,FALSE,13772,9,,POINT (-122.658726 45.504883),46380,188,FALSE,13778,10,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:30.635,13881625,bus,4013
85,937,-116,0,<DATE> @ 15:56:31.196,POWELL,FALSE,4651,19,0,POINT (-122.619935 45.497506),46235,188,FALSE,4656,20,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:32.816,13881624,bus,3728
105,935,56,0,<DATE> @ 15:56:30.212,POWELL,FALSE,4612,58,,POINT (-122.486973 45.492785),46406,188,FALSE,4534,59,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:52:32.927,13881622,bus,4011
83,936,61,0,<DATE> @ 15:57:23.477,POWELL,FALSE,4564,38,,POINT (-122.552085 45.496242),46464,188,FALSE,4504,39,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:30.069,13881623,bus,3726
0,934,-180,0,<DATE> @ 15:57:27.548,POWELL,FALSE,3715,73,0,POINT (-122.430989 45.500519),46227,188,FALSE,3725,74,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:30.095,13881621,bus,3327
223,940,0,0,<DATE> @ 15:57:23.477,POWELL,FALSE,,,,POINT (-122.675424 45.527631),46403,188,FALSE,9573,1,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:30.167,13881627,bus,3936
90,938,-8,0,<DATE> @ 15:57:24.509,POWELL,FALSE,13772,9,,POINT (-122.6581 45.504871),46396,188,FALSE,13778,10,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:30.289,13881625,bus,4013
106,935,7,0,<DATE> @ 15:57:25.509,POWELL,FALSE,4534,59,,POINT (-122.486531 45.492699),46412,188,FALSE,4615,60,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:30.292,13881622,bus,4011
90,937,-87,0,<DATE> @ 15:57:31.564,POWELL,FALSE,4656,20,0,POINT (-122.613832 45.497539),46324,188,FALSE,4662,21,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:32.929,13881624,bus,3728
200,939,-26,0,<DATE> @ 15:57:36.591,POWELL,FALSE,7636,3,,POINT (-122.676558 45.520619),46390,188,FALSE,7640,4,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:53:39.089,13881626,bus,3905
128,938,11,0,<DATE> @ 15:58:17.838,POWELL,FALSE,13778,10,,POINT (-122.655719 45.504069),46468,188,FALSE,13791,11,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:54:21.448,13881625,bus,4013
112,934,0,0,<DATE> @ 15:58:27.867,POWELL,FALSE,3683,75,0,POINT (-122.430391 45.503626),46291,188,FALSE,12757,76,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  Gresham TC,9  Powell Blvd to Gresham TC,vm,<DATE> @ 15:54:30.038,13881621,bus,3327
