trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
20,941,12,1,<DATE> @ 15:55:36.877,POWELL,FALSE,7767,78,,POINT (-122.678498 45.519365),46308,197,FALSE,7747,79,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:51:38.757,13881956,bus,3715
20,941,-37,1,<DATE> @ 15:56:37.346,POWELL,FALSE,7767,78,,POINT (-122.678393 45.519564),46320,197,FALSE,7747,79,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:52:38.776,13881956,bus,3715
20,941,5,1,<DATE> @ 15:57:14.436,POWELL,FALSE,7747,79,,POINT (-122.677419 45.52136),46399,197,FALSE,7751,80,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:53:15.032,13881956,bus,3715
20,941,16,1,<DATE> @ 15:58:14.816,POWELL,FALSE,7747,79,,POINT (-122.676574 45.522822),46470,197,FALSE,7751,80,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:54:17.975,13881956,bus,3715
358,941,12,1,<DATE> @ 15:59:21.161,POWELL,FALSE,7751,80,,POINT (-122.676493 45.524367),46533,197,FALSE,9300,81,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:55:24.370,13881956,bus,3715
358,941,11,1,<DATE> @ 16:00:20.457,POWELL,FALSE,7751,80,,POINT (-122.676552 45.525615),46591,197,FALSE,9300,81,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:56:20.846,13881956,bus,3715
356,941,0,1,<DATE> @ 16:01:24.911,POWELL,FALSE,9300,81,,POINT (-122.676616 45.527535),46669,197,FALSE,9573,82,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:57:30.019,13881956,bus,3715
283,942,3,1,<DATE> @ 16:02:12.210,POWELL,FALSE,3398,74,,POINT (-122.681647 45.508062),46695,197,FALSE,13780,75,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:58:15.344,13881957,bus,3901
290,942,23,1,<DATE> @ 16:03:12.598,POWELL,FALSE,3398,74,,POINT (-122.681271 45.509872),46775,197,FALSE,13780,75,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 15:59:15.163,13881957,bus,3901
20,942,48,1,<DATE> @ 16:04:12.022,POWELL,FALSE,13780,75,,POINT (-122.682986 45.511017),46860,197,FALSE,7773,76,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:00:15.257,13881957,bus,3901
20,942,-9,1,<DATE> @ 16:05:12.375,POWELL,FALSE,13780,75,,POINT (-122.682956 45.511073),46863,197,FALSE,7773,76,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:01:15.771,13881957,bus,3901
20,942,-43,1,<DATE> @ 16:06:35.846,POWELL,FALSE,13780,75,,POINT (-122.682331 45.512227),46912,197,FALSE,7773,76,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:02:39.522,13881957,bus,3901
20,942,-45,1,<DATE> @ 16:07:35.143,POWELL,FALSE,7773,76,,POINT (-122.681623 45.513535),46970,197,FALSE,7756,77,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:03:36.432,13881957,bus,3901
20,942,-97,1,<DATE> @ 16:08:27.556,POWELL,FALSE,7773,76,,POINT (-122.68157 45.513633),46970,197,FALSE,7756,77,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:04:30.612,13881957,bus,3901
19,942,-57,1,<DATE> @ 16:09:38.015,POWELL,FALSE,7756,77,,POINT (-122.680125 45.516357),47081,197,FALSE,7767,78,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:05:39.299,13881957,bus,3901
20,942,-9,1,<DATE> @ 16:10:37.339,POWELL,FALSE,7767,78,,POINT (-122.678767 45.518857),47188,197,FALSE,7747,79,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:06:39.286,13881957,bus,3901
20,942,-37,1,<DATE> @ 16:11:37.693,POWELL,FALSE,7767,78,,POINT (-122.678355 45.519637),47220,197,FALSE,7747,79,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:07:39.324,13881957,bus,3901
20,942,-10,1,<DATE> @ 16:12:37.972,POWELL,FALSE,7747,79,,POINT (-122.677334 45.521517),47307,197,FALSE,7751,80,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:08:39.060,13881957,bus,3901
10,942,0,1,<DATE> @ 16:13:31.347,POWELL,FALSE,7747,79,,POINT (-122.676483 45.523015),47371,197,FALSE,7751,80,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:09:33.314,13881957,bus,3901
358,942,25,1,<DATE> @ 16:14:30.623,POWELL,FALSE,7751,80,,POINT (-122.676514 45.524865),47455,197,FALSE,9300,81,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:10:33.353,13881957,bus,3901
358,942,-6,1,<DATE> @ 16:15:31.083,POWELL,FALSE,7751,80,,POINT (-122.67655 45.525548),47485,197,FALSE,9300,81,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:11:33.203,13881957,bus,3901
269,943,4,1,<DATE> @ 16:16:25.427,POWELL,FALSE,3398,74,0,POINT (-122.679982 45.507994),47549,197,FALSE,13780,75,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:12:27.556,13881958,bus,4001
356,942,0,1,<DATE> @ 16:16:28.381,POWELL,FALSE,9300,81,,POINT (-122.676628 45.527666),47575,197,FALSE,9573,82,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:12:30.252,13881957,bus,3901
14,943,24,1,<DATE> @ 16:17:25.818,POWELL,FALSE,3398,74,0,POINT (-122.681829 45.508776),47629,197,FALSE,13780,75,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:13:27.498,13881958,bus,4001
290,943,12,1,<DATE> @ 16:18:23.052,POWELL,FALSE,3398,74,0,POINT (-122.681258 45.509868),47675,197,FALSE,13780,75,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:14:24.838,13881958,bus,4001
20,943,39,1,<DATE> @ 16:19:26.496,POWELL,FALSE,13780,75,0,POINT (-122.682914 45.511151),47765,197,FALSE,7773,76,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:15:27.265,13881958,bus,4001
20,943,33,1,<DATE> @ 16:20:18.791,POWELL,FALSE,13780,75,0,POINT (-122.682317 45.512252),47811,197,FALSE,7773,76,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:16:21.148,13881958,bus,4001
20,943,16,1,<DATE> @ 16:21:33.208,POWELL,FALSE,7773,76,0,POINT (-122.681572 45.513629),47869,197,FALSE,7756,77,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:17:36.327,13881958,bus,4001
19,943,66,1,<DATE> @ 16:22:34.589,POWELL,FALSE,7756,77,0,POINT (-122.680129 45.516348),47980,197,FALSE,7767,78,FALSE,084C8D,9,Bus,<DATE> @ 03:00:00.000,9  To NW Flanders,9  To NW Flanders,vm,<DATE> @ 16:18:36.266,13881958,bus,4001
