trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
200,9471,-150,0,<DATE> @ 15:55:32.876,MERLO,FALSE,8644,13,0,POINT (-122.796561 45.405317),46142,944,FALSE,4257,14,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:51:35.895,13899420,bus,3202
135,9468,0,0,<DATE> @ 15:55:37.913,MERLO,FALSE,,,,POINT (-122.769074 45.43043),46297,944,FALSE,8212,1,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:51:38.835,13899419,bus,3033
183,9471,-141,0,<DATE> @ 15:56:33.203,MERLO,FALSE,4257,14,0,POINT (-122.798825 45.398566),46212,944,FALSE,4258,15,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:52:35.973,13899420,bus,3202
135,9468,0,0,<DATE> @ 15:56:38.238,MERLO,FALSE,,,,POINT (-122.769074 45.43043),46358,944,FALSE,8212,1,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:52:38.840,13899419,bus,3033
135,9468,0,0,<DATE> @ 15:57:10.448,MERLO,FALSE,,,,POINT (-122.769074 45.43043),46390,944,FALSE,8212,1,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:53:15.274,13899419,bus,3033
183,9471,-191,0,<DATE> @ 15:57:33.552,MERLO,FALSE,4257,14,0,POINT (-122.798914 45.397502),46222,944,FALSE,4258,15,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:53:36.090,13899420,bus,3202
231,9471,-154,0,<DATE> @ 15:58:33.940,MERLO,FALSE,4258,15,0,POINT (-122.805058 45.389607),46319,944,FALSE,4260,16,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:54:36.038,13899420,bus,3202
135,9468,0,0,<DATE> @ 15:58:37.926,MERLO,FALSE,,,,POINT (-122.769074 45.43043),46477,944,FALSE,8212,1,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:54:38.953,13899419,bus,3033
135,9469,0,0,<DATE> @ 15:59:26.229,MERLO,FALSE,,,0,POINT (-122.769196 45.430517),46526,944,FALSE,8212,1,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:55:26.881,13899421,bus,3235
243,9471,-158,0,<DATE> @ 15:59:34.251,MERLO,FALSE,4300,17,0,POINT (-122.811493 45.386243),46376,944,FALSE,4277,18,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Sherwood,94  To Sherwood,vm,<DATE> @ 15:55:35.978,13899420,bus,3202
