trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
43,9469,-46,1,<DATE> @ 15:55:36.862,MERLO,FALSE,11030,27,0,POINT (-122.780682 45.42529),46250,947,FALSE,4317,28,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:51:38.744,13899671,bus,3235
315,9470,-159,1,<DATE> @ 15:56:15.127,MERLO,FALSE,5244,2,0,POINT (-122.845994 45.362742),46176,947,FALSE,5247,3,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:52:18.318,13899672,bus,3007
42,9469,-53,1,<DATE> @ 15:56:24.163,MERLO,FALSE,4317,28,0,POINT (-122.778343 45.426898),46291,947,FALSE,3654,29,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:52:30.313,13899671,bus,3235
38,9470,-115,1,<DATE> @ 15:57:15.436,MERLO,FALSE,8306,5,0,POINT (-122.846494 45.367315),46280,947,FALSE,12849,6,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:53:18.183,13899672,bus,3007
45,9469,-76,1,<DATE> @ 15:57:24.493,MERLO,FALSE,4317,28,0,POINT (-122.776208 45.428371),46328,947,FALSE,3654,29,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:53:30.035,13899671,bus,3235
80,9470,-64,1,<DATE> @ 15:58:14.816,MERLO,FALSE,13766,8,0,POINT (-122.839652 45.36711),46390,947,FALSE,9639,9,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:54:18.044,13899672,bus,3007
57,9469,0,1,<DATE> @ 15:58:24.881,MERLO,FALSE,4317,28,0,POINT (-122.772471 45.429907),46386,947,FALSE,3654,29,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:54:29.953,13899671,bus,3235
15,9470,-109,1,<DATE> @ 15:59:15.144,MERLO,FALSE,13766,8,0,POINT (-122.839276 45.367727),46406,947,FALSE,9639,9,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:55:18.128,13899672,bus,3007
288,9470,-158,1,<DATE> @ 16:00:15.424,MERLO,FALSE,13766,8,0,POINT (-122.839524 45.368082),46417,947,FALSE,9639,9,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:56:17.835,13899672,bus,3007
45,9470,-170,1,<DATE> @ 16:01:15.859,MERLO,FALSE,9639,9,0,POINT (-122.841289 45.371128),46465,947,FALSE,8954,10,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:57:17.970,13899672,bus,3007
27,9470,-189,1,<DATE> @ 16:02:15.260,MERLO,FALSE,8954,10,0,POINT (-122.835855 45.375905),46506,947,FALSE,4276,11,FALSE,084C8D,94,Bus,<DATE> @ 03:00:00.000,94 To Tigard,94  To Tigard,vm,<DATE> @ 15:58:18.081,13899672,bus,3007
