trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
110,9669,0,1,<DATE> @ 15:55:36.862,MERLO,FALSE,3049,18,,POINT (-122.684902 45.515413),45780,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 15:51:38.711,13899855,bus,3639
110,9669,0,1,<DATE> @ 15:56:37.331,MERLO,FALSE,3049,18,,POINT (-122.684902 45.515413),45780,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 15:52:38.743,13899855,bus,3639
110,9669,0,1,<DATE> @ 15:57:36.591,MERLO,FALSE,3049,18,,POINT (-122.684902 45.515413),45780,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 15:53:38.935,13899855,bus,3639
110,9669,0,1,<DATE> @ 15:58:36.909,MERLO,FALSE,3049,18,,POINT (-122.684902 45.515413),45780,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 15:54:38.859,13899855,bus,3639
110,9669,0,1,<DATE> @ 15:59:37.236,MERLO,FALSE,3049,18,,POINT (-122.684902 45.515413),45780,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 15:55:38.906,13899855,bus,3639
110,9669,0,1,<DATE> @ 16:00:25.536,MERLO,FALSE,3049,18,,POINT (-122.684902 45.515413),45780,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 15:56:26.979,13899855,bus,3639
337,9671,450,1,<DATE> @ 16:36:19.444,MERLO,FALSE,11002,15,0,POINT (-122.67507 45.511787),49189,926,FALSE,12789,16,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 16:32:24.951,13899856,bus,3602
308,9671,397,1,<DATE> @ 16:37:16.797,MERLO,FALSE,11002,15,0,POINT (-122.675339 45.512051),49193,926,FALSE,12789,16,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 16:33:18.447,13899856,bus,3602
290,9671,353,1,<DATE> @ 16:38:18.146,MERLO,FALSE,11002,15,0,POINT (-122.675167 45.513576),49211,926,FALSE,12789,16,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 16:34:21.441,13899856,bus,3602
290,9671,294,1,<DATE> @ 16:39:36.713,MERLO,FALSE,12789,16,0,POINT (-122.677663 45.51424),49230,926,FALSE,3039,17,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 16:35:39.798,13899856,bus,3602
290,9671,264,1,<DATE> @ 16:40:35.989,MERLO,FALSE,12789,16,0,POINT (-122.681537 45.51527),49259,926,FALSE,3039,17,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 16:36:39.541,13899856,bus,3602
290,9671,0,1,<DATE> @ 16:41:22.295,MERLO,FALSE,3049,18,0,POINT (-122.684461 45.51605),49393,926,FALSE,9044,19,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To 10th & Jefferson,96  To SW 10th & Jefferson,vm,<DATE> @ 16:37:24.873,13899856,bus,3602
