trimet.bearing,trimet.blockID,trimet.delay,trimet.direction,trimet.expires,trimet.garage,trimet.inCongestion,trimet.lastLocID,trimet.lastStopSeq,trimet.loadPercentage,trimet.location,trimet.locationInScheduleDay,trimet.messageCode,trimet.newTrip,trimet.nextLocID,trimet.nextStopSeq,trimet.offRoute,trimet.routeColor,trimet.routeNumber,trimet.routeSubType,trimet.serviceDate,trimet.signMessage,trimet.signMessageLong,trimet.source,trimet.time,trimet.tripID,trimet.type,trimet.vehicleID
110,9669,16,0,<DATE> @ 16:01:37.981,MERLO,FALSE,9044,1,,POINT (-122.683291 45.514986),46673,932,FALSE,1108,2,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 15:57:38.864,13899809,bus,3639
110,9669,15,0,<DATE> @ 16:02:37.384,MERLO,FALSE,1108,2,,POINT (-122.681547 45.514522),46732,932,FALSE,12794,3,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 15:58:39.039,13899809,bus,3639
110,9669,24,0,<DATE> @ 16:03:35.849,MERLO,FALSE,1108,2,,POINT (-122.679686 45.514026),46799,932,FALSE,12794,3,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 15:59:39.152,13899809,bus,3639
110,9669,-11,0,<DATE> @ 16:04:13.039,MERLO,FALSE,12794,3,,POINT (-122.679254 45.513911),46802,932,FALSE,12795,4,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:00:15.109,13899809,bus,3639
110,9669,-55,0,<DATE> @ 16:05:13.425,MERLO,FALSE,12794,3,,POINT (-122.676457 45.513167),46818,932,FALSE,12795,4,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:01:15.513,13899809,bus,3639
201,9669,-100,0,<DATE> @ 16:06:13.767,MERLO,FALSE,12795,4,,POINT (-122.675661 45.511774),46833,932,FALSE,11001,5,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:02:15.125,13899809,bus,3639
137,9669,-155,0,<DATE> @ 16:07:13.085,MERLO,FALSE,12795,4,,POINT (-122.675454 45.511324),46838,932,FALSE,11001,5,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:03:14.836,13899809,bus,3639
164,9669,-149,0,<DATE> @ 16:08:14.503,MERLO,FALSE,10712,6,,POINT (-122.674159 45.502694),46905,932,FALSE,13053,7,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:04:15.168,13899809,bus,3639
220,9669,-101,0,<DATE> @ 16:09:12.811,MERLO,FALSE,10712,6,,POINT (-122.676628 45.488977),47011,932,FALSE,13053,7,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:05:15.354,13899809,bus,3639
179,9669,-76,0,<DATE> @ 16:10:13.232,MERLO,FALSE,10712,6,,POINT (-122.678918 45.477947),47097,932,FALSE,13053,7,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:06:15.112,13899809,bus,3639
284,9669,-54,0,<DATE> @ 16:11:13.591,MERLO,FALSE,13053,7,,POINT (-122.682554 45.469946),47179,932,FALSE,13050,8,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:07:15.078,13899809,bus,3639
234,9669,-22,0,<DATE> @ 16:12:12.960,MERLO,FALSE,13053,7,,POINT (-122.696753 45.464863),47270,932,FALSE,13050,8,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:08:15.280,13899809,bus,3639
231,9669,15,0,<DATE> @ 16:13:13.237,MERLO,FALSE,13053,7,,POINT (-122.711663 45.456519),47368,932,FALSE,13050,8,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:09:14.986,13899809,bus,3639
204,9669,61,0,<DATE> @ 16:14:13.678,MERLO,FALSE,13053,7,,POINT (-122.728801 45.450646),47474,932,FALSE,13050,8,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:10:15.140,13899809,bus,3639
214,9669,111,0,<DATE> @ 16:15:13.983,MERLO,FALSE,13050,8,,POINT (-122.74272 45.440526),47584,932,FALSE,8956,9,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:11:15.183,13899809,bus,3639
179,9669,152,0,<DATE> @ 16:16:13.389,MERLO,FALSE,13050,8,,POINT (-122.744262 45.427025),47685,932,FALSE,8956,9,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:12:15.359,13899809,bus,3639
179,9669,191,0,<DATE> @ 16:17:14.688,MERLO,FALSE,13050,8,,POINT (-122.744196 45.413535),47785,932,FALSE,8956,9,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:13:18.203,13899809,bus,3639
193,9669,223,0,<DATE> @ 16:18:13.047,MERLO,FALSE,13050,8,,POINT (-122.745377 45.401301),47876,932,FALSE,8956,9,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:14:15.040,13899809,bus,3639
197,9669,181,0,<DATE> @ 16:19:32.514,MERLO,FALSE,8956,9,,POINT (-122.74791 45.396624),47913,932,FALSE,7880,10,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:15:33.104,13899809,bus,3639
81,9669,145,0,<DATE> @ 16:20:31.860,MERLO,FALSE,8956,9,,POINT (-122.748853 45.395132),47936,932,FALSE,7880,10,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:16:33.074,13899809,bus,3639
226,9669,144,0,<DATE> @ 16:21:32.207,MERLO,FALSE,7880,10,,POINT (-122.749541 45.392502),47996,932,FALSE,558,11,FALSE,084C8D,96,Bus,<DATE> @ 03:00:00.000,96 To Mohawk P&R,96  Tualatin to Mohawk P&R,vm,<DATE> @ 16:17:33.142,13899809,bus,3639
